;q_A [cm^3/s];q_B [cm^3/s];q_d1 [cm^3/s];q_d2 [cm^3/s];q_d3 [cm^3/s];q_d4 [cm^3/s];x1 [cm];x2 [cm];x3 [cm];x4 [cm]
0;452.78;555.56;0.1764;0.1593;0.2043;0.1417;65.0;66.0;65.0;66.0
1;452.78;555.56;0.04;0.0569;-0.0919;0.0444;65.1607259553592;66.09660366055301;65.24249754730543;66.13433879289984
2;452.78;555.56;0.0979;-0.0114;0.0115;-0.0077;65.18570043554364;66.0895627670313;65.1785127023381;66.16599680267072
3;452.78;555.56;0.2241;0.0252;-0.0137;-0.1092;65.2643677896966;66.01597182178826;65.2206390872533;66.14428758380802
4;452.78;555.56;0.1868;-0.1211;0.1366;-0.0437;65.4663102491479;65.98315881058774;65.23578030125725;66.0219473238449
5;452.78;555.56;-0.0977;-0.0394;-0.0262;0.1674;65.61951624084678;65.80139742948865;65.40058002368353;65.97000666838197
6;452.78;555.56;0.095;0.0085;-0.1286;-0.2924;65.48604887261483;65.7117349377948;65.39560244422722;66.13124755667054
7;452.78;555.56;-0.0151;0.0099;-0.1655;0.1683;65.55304200829399;65.68259448935571;65.28843547703393;65.82622932082818
8;452.78;555.56;-0.0103;-0.1531;0.0037;-0.0147;65.50139666214933;65.644632564762;65.14890492394323;65.9941364245846
9;452.78;555.56;0.0411;0.0328;0.127;-0.0368;65.45172439070649;65.45301511301074;65.18448632963866;65.9723102008038
10;452.78;555.56;0.0144;0.0279;-0.0143;0.0137;65.45792863639703;65.45961449535886;65.34185953773469;65.92925875669442
11;452.78;555.56;0.1454;-0.0377;0.0795;-0.022;65.44372775155782;65.45913333653226;65.35126706101276;65.93843320844675
12;452.78;555.56;0.0761;0.0004;-0.0072;-0.2501;65.56177386088315;65.39345316819482;65.4540763745169;65.91153981697765
13;452.78;555.56;0.0122;-0.1483;-0.0742;-0.0604;65.60781710596203;65.369320538622;65.46583575332102;65.65762476967113
14;452.78;555.56;0.0444;-0.148;0.1226;0.0726;65.5877084963058;65.18795931497762;65.4100978022875;65.60360181636666
15;452.78;555.56;0.0334;0.0135;-0.2205;0.1206;65.59864275200556;65.01723843140199;65.55351752713507;65.68474987364682
16;452.78;555.56;0.1494;-0.0668;-0.0531;-0.1038;65.60398870116336;65.02307152360429;65.34777272950934;65.81063718554155
17;452.78;555.56;-0.0205;-0.0012;0.0168;-0.0246;65.7163134717158;64.95325592077283;65.31812995075059;65.70706999291515
18;452.78;555.56;0.0313;0.0839;-0.0969;-0.139;65.6507804439957;64.94970937854458;65.35964204785611;65.68686077613042
19;452.78;555.56;-0.0854;-0.0174;0.031;-0.0079;65.64271463210542;65.03069637886485;65.28569688179572;65.5530632932199
20;452.78;555.56;-0.2553;-0.2811;0.094;0.098;65.51529960504261;64.99940671036292;65.34278230313906;65.55574314233381
21;452.78;555.56;0.0654;-0.0151;-0.0163;-0.0207;65.22800966534528;64.70668771285271;65.46045076553784;65.66421523425991
22;452.78;555.56;0.0864;-0.0481;-0.0321;-0.0495;65.28358007643058;64.70458816456004;65.46284055186588;65.64962749229053
23;452.78;555.56;-0.0742;-0.0235;-0.0403;-0.1673;65.35692516196082;64.6690479777107;65.44932927021004;65.60682586777814
24;452.78;555.56;0.227;0.09;-0.0664;0.0215;65.26471060646216;64.65885065658598;65.42818942709064;65.44794433561582
25;452.78;555.56;-0.1454;-0.1579;-0.0116;-0.0672;65.47831940874661;64.7564701698987;65.38184377894133;65.484252774949
26;452.78;555.56;0.0046;0.0244;-0.0416;-0.0217;65.30479222160467;64.60088662944577;65.39225901264118;65.43040026144361
27;452.78;555.56;-0.0187;0.157;-0.0211;-0.09;65.29208215420253;64.63621878598313;65.37223351784398;65.42421477181452
28;452.78;555.56;0.1533;-0.0626;0.2612;-0.1248;65.25598522612329;64.80145214701405;65.3735554481559;65.34997824323119
29;452.78;555.56;0.1469;0.0472;-0.0817;-0.0177;65.39410466947051;64.73264867911736;65.65712143392958;65.24393059470272
30;452.78;555.56;0.0155;0.0966;0.023;-0.0659;65.52954835529967;64.77413778985517;65.58579985719705;65.24925553850642
31;452.78;555.56;0.0378;0.021;0.0135;0.1198;65.52248464347929;64.86236777801273;65.62219091184056;65.20616586094651
32;452.78;555.56;-0.0888;-0.0685;0.2015;-0.1594;65.5396802529516;64.8671525958194;65.64754459970884;65.35051316020589
33;452.78;555.56;-0.1981;-0.071;-0.0984;-0.0793;65.43031954659833;64.78792276823904;65.85982745438645;65.2098439690035
34;452.78;555.56;-0.0348;0.0744;-0.004;-0.0622;65.2271514390901;64.70600945618611;65.7632524753051;65.1549429786033
35;452.78;555.56;0.0156;0.0592;-0.071;-0.166;65.19536455659322;64.77295628406956;65.76515093895546;65.11935585699152
36;452.78;555.56;0.123;-0.0786;0.0252;0.0435;65.21596116140381;64.81863000044918;65.69996929836672;64.98140427549387
