;q_A [cm^3/s];q_B [cm^3/s];q_d1 [cm^3/s];q_d2 [cm^3/s];q_d3 [cm^3/s];q_d4 [cm^3/s];x1 [cm];x2 [cm];x3 [cm];x4 [cm]
0;452.78;555.56;0.2208;0.0102;-0.0121;-0.2231;65;66;65;66
1;452.78;555.56;0.2495;0.0021;-0.0347;0.1031;65;66;65;66
2;452.78;555.56;-0.0392;-0.155;0.0883;-0.0899;65;66;65;66
3;452.78;555.56;-0.1033;-0.1503;0.2384;-0.2612;65;66;65;66
4;452.78;555.56;-0.1042;0.0896;0.2365;-0.0671;64.88102596;65.78700366;65.27659755;65.73143879
5;452.78;555.56;0.2911;0.0172;0.2516;0.1358;64.78001762;65.81775899;65.53956833;65.66775093
6;452.78;555.56;0.2708;-0.0675;-0.121;-0.1736;65.09150138;65.77144302;65.80651308;65.80952114
7;452.78;555.56;0.0684;0.3377;0.4401;-0.0657;65.37526546;65.64930226;65.68958648;65.63619874
8;452.78;555.56;-0.0862;0.3695;0.1037;-0.0564;65.43470651;65.93379936;66.13869412;65.57773672
9;452.78;555.56;0.0171;0.0015;0.2772;-0.1455;65.35492176;66.22819702;66.23247354;65.53092453
10;452.78;555.56;0.227;-0.0479;0.0272;0.0733;65.38715211;66.13252676;66.49580862;65.39689467
11;452.78;555.56;0.0527;-0.0093;0.1506;-0.0157;65.63841577;65.98861819;66.49808281;65.48705789
12;452.78;555.56;-0.0133;0.091;-0.2967;-0.099;65.70046398;65.89680692;66.62366157;65.48459252
13;452.78;555.56;0.1375;-0.2467;0.0275;0.0824;65.69807664;65.91149817;66.29667344;65.39892634
14;452.78;555.56;0.0758;0.0357;-0.1523;-0.2117;65.83290713;65.58403314;66.3076099;65.49810778
15;452.78;555.56;-0.1223;0.1043;0.0951;-0.2197;65.89845771;65.56546915;66.13828679;65.29919788
16;452.78;555.56;0.0584;0.0511;-0.1942;-0.1564;65.75488302;65.6087752;66.22348334;65.10029571
17;452.78;555.56;-0.0637;0.1803;0.088;0.0324;65.80414871;65.58788116;66.01579643;64.97271315
18;452.78;555.56;0.0059;0.1597;-0.1058;0.2158;65.71963755;65.6924745;66.09904913;65.0390811
19;452.78;555.56;-0.0792;0.1308;0.0062;0.1024;65.71327063;65.77195218;65.98499684;65.28616914
20;452.78;555.56;-0.0765;-0.0841;-0.1169;-0.0087;65.61738127;65.82703125;65.98774678;65.4098919
21;452.78;555.56;-0.1332;0.1106;-0.097;-0.0617;65.53002967;65.66840849;65.86728088;65.4175319
22;452.78;555.56;0.1631;-0.2169;0.1421;-0.0022;65.38611749;65.71569688;65.77179164;65.37186437
23;452.78;555.56;0.101;-0.0597;0.1944;-0.0939;65.54307905;65.43039478;65.91942981;65.38753537
24;452.78;555.56;-0.1601;0.0838;-0.0039;0.1282;65.63478565;65.32256122;66.11314235;65.3108754
25;452.78;555.56;0.1827;-0.116;-0.2517;-0.3285;65.46807468;65.36257373;66.10039695;65.45940278
26;452.78;555.56;0.5046;-0.1831;0.2499;0.0834;65.65358395;65.20600734;65.84038794;65.14525012
27;452.78;555.56;-0.1248;0.0775;0.0007;-0.1911;66.13896095;64.98048484;66.09293267;65.25565396
28;452.78;555.56;-0.0511;-0.1974;-0.14;0.121;65.97666479;65.03559372;66.08563781;65.0871064
29;452.78;555.56;-0.2788;-0.099;0.159;0.1745;65.89741733;64.80519576;65.93795;65.23745606
30;452.78;555.56;0.0001;-0.0148;-0.2599;0.0932;65.5889691;64.69519953;66.09548207;65.43524197
31;452.78;555.56;0.0527;0.0542;0.0376;0.1279;65.58444997;64.68498865;65.82747992;65.54376162
32;452.78;555.56;0.2282;-0.1937;0.1743;0.143;65.62150943;64.74885113;65.86826899;65.68261551
33;452.78;555.56;-0.1021;-0.0262;0.0226;0.1162;65.8335764;64.56596976;66.0440381;65.83098856
34;452.78;555.56;0.1407;0.0841;0.065;-0.1037;65.71010051;64.56922199;66.06070156;65.94660469
35;452.78;555.56;-0.1022;-0.0458;-0.0067;-0.119;65.8374883;64.68718576;66.11906346;65.83768369
36;452.78;555.56;-0.0302;-0.0105;-0.2182;-0.1461;65.71683731;64.66270237;66.10326889;65.71783118
37;452.78;555.56;-0.0026;0.0052;-0.1112;-0.1632;65.67471501;64.67040475;65.87663901;65.57568978
38;452.78;555.56;-0.2682;0.1318;-0.0901;-0.0622;65.65315955;64.68756176;65.76655524;65.42215988
39;452.78;555.56;-0.1278;-0.1335;0.0107;-0.0435;65.36264748;64.82395362;65.68221435;65.37580606
40;452.78;555.56;-0.2442;0.1379;-0.1996;-0.1666;65.22633194;64.68373236;65.70223323;65.35001835
41;452.78;555.56;0.145;-0.2151;-0.0973;0.1294;64.98261884;64.82358505;65.51110697;65.20216909
42;452.78;555.56;0.008;0.09;0.0799;0.009;65.13463703;64.59479316;65.43035482;65.35627753
43;452.78;555.56;0.0435;-0.1603;0.1384;-0.1638;65.13712687;64.69316373;65.53021757;65.3837762
44;452.78;555.56;0.0094;-0.0813;-0.0479;0.1491;65.17919029;64.53552218;65.68435756;65.23736758
45;452.78;555.56;-0.1647;-0.1619;0.2643;-0.2827;65.19114554;64.46191333;65.64568596;65.40975706
46;452.78;555.56;0.0196;0.0302;0.2077;0.1223;65.02665183;64.3197571;65.92084731;65.14340249
