;q_A [cm^3/s];q_B [cm^3/s];q_d1 [cm^3/s];q_d2 [cm^3/s];q_d3 [cm^3/s];q_d4 [cm^3/s];x1 [cm];x2 [cm];x3 [cm];x4 [cm]
0;452.78;555.56;0.2646;0.239;0.3064;0.2126;65;66;65;66
1;452.78;555.56;0.06;0.0853;-0.1379;0.0666;65;66;65;66
2;452.78;555.56;0.1468;-0.0172;0.0172;-0.0115;65;66;65;66
3;452.78;555.56;0.3361;0.0377;-0.0206;-0.1637;65;66;65;66
4;452.78;555.56;0.2801;-0.1816;0.2048;-0.0656;65.32042596;65.97500366;65.01759755;65.82893879
5;452.78;555.56;-0.1466;-0.0591;-0.0392;0.2511;65.56640425;65.72556284;65.25984828;65.76283717
6;452.78;555.56;0.1425;0.0128;-0.1929;-0.4386;65.38125017;65.61310197;65.24782846;66.01608863
7;452.78;555.56;-0.0227;0.0149;-0.2482;0.2524;65.49575164;65.59043355;65.08261779;65.56948272
8;452.78;555.56;-0.0155;-0.2296;0.0056;-0.0221;65.43120582;65.55349951;64.86911002;65.83180238
9;452.78;555.56;0.0616;0.0491;0.1905;-0.0552;65.36865423;65.28514387;64.91846554;65.80908586
10;452.78;555.56;0.0216;0.0419;-0.0215;0.0206;65.38903923;65.31306946;65.15062462;65.75418092
11;452.78;555.56;0.2181;-0.0566;0.1193;-0.033;65.37805573;65.32966497;65.16093313;65.77727991
12;452.78;555.56;0.1142;0.0006;-0.0108;-0.3752;65.56466604;65.24754331;65.31160464;65.74585157
13;452.78;555.56;0.0183;-0.2225;-0.1114;-0.0906;65.64260758;65.22702471;65.32579302;65.37348499
14;452.78;555.56;0.0666;-0.222;0.1838;0.109;65.62059669;64.96984971;65.23878068;65.30069074
15;452.78;555.56;0.0501;0.0202;-0.3308;0.1809;65.64451464;64.72800874;65.4506533;65.43042842
16;452.78;555.56;0.2241;-0.1002;-0.0796;-0.1557;65.65947345;64.75033086;65.13895745;65.62684179
17;452.78;555.56;-0.0308;-0.0017;0.0252;-0.0369;65.83434057;64.65860604;65.09166058;65.4787558
18;452.78;555.56;0.047;0.1259;-0.1453;-0.2084;65.74187391;64.6657823;65.15116928;65.45542445
19;452.78;555.56;-0.1281;-0.0261;0.0464;-0.0118;65.73524306;64.79912237;65.03765469;65.26153187
20;452.78;555.56;-0.3829;-0.4216;0.141;0.1469;65.54909342;64.76341701;65.12065435;65.27204743
21;452.78;555.56;0.098;-0.0226;-0.0245;-0.0311;65.12277419;64.33510801;65.29473351;65.44083923
22;452.78;555.56;0.1297;-0.0722;-0.0481;-0.0742;65.21023482;64.34231017;65.29593626;65.4248336
23;452.78;555.56;-0.1113;-0.0352;-0.0605;-0.2509;65.32420749;64.29876769;65.27348807;65.36637217
24;452.78;555.56;0.3405;0.135;-0.0996;0.0323;65.1894078;64.2928977;65.23959054;65.13356433
25;452.78;555.56;-0.2182;-0.2368;-0.0174;-0.1008;65.5130412;64.44825269;65.16802885;65.19333955
26;452.78;555.56;0.0069;0.0366;-0.0625;-0.0325;65.25558389;64.22342584;65.18169959;65.117604
27;452.78;555.56;-0.0281;0.2355;-0.0316;-0.135;65.23920203;64.28456742;65.14969091;65.11322309
28;452.78;555.56;0.2299;-0.0939;0.3918;-0.1872;65.18744406;64.54018086;65.14993899;65.00651894
29;452.78;555.56;0.2204;0.0708;-0.1226;-0.0266;65.39679581;64.44433555;65.57357656;64.85192165
30;452.78;555.56;0.0232;0.1449;0.0345;-0.0989;65.60204947;64.51359615;65.46488409;64.86417061
31;452.78;555.56;0.0567;0.0315;0.0203;0.1797;65.59324494;64.65264439;65.51788639;64.80362439
32;452.78;555.56;-0.1332;-0.1028;0.3023;-0.2391;65.62070711;64.6662007;65.55444764;65.02412624
33;452.78;555.56;-0.2971;-0.1064;-0.1475;-0.1189;65.45817518;64.5534274;65.87146353;64.81691804
34;452.78;555.56;-0.0522;0.1116;-0.006;-0.0933;65.15483266;64.43650156;65.72529796;64.73828229
35;452.78;555.56;0.0235;0.0888;-0.1065;-0.249;65.10837516;64.54250995;65.72679813;64.68842739
36;452.78;555.56;0.1845;-0.118;0.0378;0.0653;65.14046453;64.61634299;65.62773498;64.48489016
37;452.78;555.56;0.1804;-0.1765;0.1515;-0.3861;65.32744846;64.47000975;65.67715449;64.60389829
38;452.78;555.56;-0.0581;-0.1921;-0.112;-0.0937;65.50122482;64.28015141;65.83818701;64.26668378
39;452.78;555.56;-0.0453;0.2492;-0.0341;0.0504;65.43290669;64.07420549;65.72892454;64.23554598
40;452.78;555.56;-0.1573;-0.0102;0.1264;0.161;65.37686184;64.32262363;65.70217165;64.34977287
41;452.78;555.56;-0.213;0.354;-0.0004;-0.2228;65.21103873;64.29899879;65.83704799;64.56996182
42;452.78;555.56;-0.2559;0.0833;0.0086;-0.0442;65.0051295;64.65014464;65.83943356;64.39742209
43;452.78;555.56;0.2926;0.0659;-0.1187;-0.0467;64.76876039;64.6992206;65.85071852;64.41047757
44;452.78;555.56;-0.0764;0.0459;0.2267;0.1919;65.09555615;64.72802487;65.73422762;64.42050342
45;452.78;555.56;-0.0657;0.1499;-0.0644;0.2176;65.02882732;64.73524009;65.96805091;64.66872258
46;452.78;555.56;-0.1879;-0.1449;-0.0422;-0.1363;64.98665825;64.85601418;65.90091472;64.93258302
47;452.78;555.56;0.1166;0.324;-0.0448;-0.1313;64.82198908;64.68429698;65.85880762;64.83187207
48;452.78;555.56;-0.2421;-0.015;0.1457;-0.0968;64.9699284;64.9893017;65.81587564;64.74023163
49;452.78;555.56;-0.0319;-0.1055;0.1749;-0.3847;64.74847721;64.93048719;65.96525414;64.68679787
50;452.78;555.56;-0.1343;0.0454;-0.0277;0.0366;64.75681922;64.78307749;66.13753577;64.3476266
51;452.78;555.56;0.058;0.1639;0.001;0.086;64.66951343;64.78302265;66.09996392;64.44350266
52;452.78;555.56;-0.0766;-0.1511;0.076;0.1654;64.77817448;64.90536133;66.09267314;64.584889
53;452.78;555.56;-0.1771;0.085;0.0294;-0.1121;64.74539766;64.70996298;66.16068921;64.79994451
54;452.78;555.56;-0.0042;-0.1075;0.1178;0.3143;64.6169523;64.77289807;66.17924327;64.72879519
55;452.78;555.56;0.0642;-0.0759;0.1649;-0.2016;64.66991011;64.63609524;66.28541686;65.08692419
56;452.78;555.56;0.01;-0.0734;-0.0957;-0.1946;64.79254699;64.55484363;66.43422639;64.9146812
57;452.78;555.56;0.0454;0.1145;-0.0339;0.1739;64.85986393;64.47477143;66.31618527;64.75639356
58;452.78;555.56;-0.0951;-0.1664;-0.0078;-0.1426;64.95358032;64.58175572;66.26490182;64.97300589
59;452.78;555.56;-0.0544;0.0289;-0.0737;0.0002;64.89901661;64.40917303;66.24187362;64.86436201
60;452.78;555.56;-0.1009;-0.0515;-0.3369;0.0274;64.88745925;64.43947824;66.1539135;64.90290806
61;452.78;555.56;-0.0539;-0.1271;-0.1198;0.0283;64.8263964;64.38883693;65.8064526;64.96709617
62;452.78;555.56;-0.122;-0.182;-0.1214;0.0596;64.80136309;64.26870582;65.69072855;65.02959099
63;452.78;555.56;-0.2589;-0.1804;0.0361;-0.0997;64.70484988;64.10454666;65.57828798;65.12086216
64;452.78;555.56;0.0266;-0.2451;0.0657;-0.02;64.47248721;63.9570916;65.62809643;65.04914981
65;452.78;555.56;-0.0603;0.1344;0.0453;-0.4262;64.54170942;63.75231354;65.70540067;65.0600314
66;452.78;555.56;-0.2445;-0.0362;0.0415;0.0627;64.52312829;63.94175813;65.75904071;64.66427376
67;452.78;555.56;0.0694;0.0238;-0.1368;-0.4165;64.32372948;63.93138983;65.80661689;64.77341432
68;452.78;555.56;-0.1361;0.1767;-0.2195;0.0399;64.45225051;63.98616107;65.67388591;64.39893809
69;452.78;555.56;0.0078;-0.183;0.1202;0.0341;64.36192522;64.17484486;65.46405644;64.49603206
70;452.78;555.56;0.1094;-0.1412;-0.2216;0.2102;64.41207545;63.99462857;65.60279373;64.58338849
71;452.78;555.56;0.0193;0.0382;0.294;0.2333;64.56666777;63.87230005;65.39386682;64.84330479
72;452.78;555.56;0.1709;-0.2736;0.0438;0.1264;64.61301812;63.94841776;65.70937329;65.11580212
73;452.78;555.56;-0.1852;-0.0868;0.0172;0.1354;64.82151384;63.71843404;65.76134563;65.27039391
74;452.78;555.56;0.0604;-0.1387;0.0584;0.0482;64.6635708;63.6975279;65.78452455;65.42775234
75;452.78;555.56;-0.1027;0.0494;-0.0693;-0.09;64.76169744;63.632519;65.84792552;65.49157342
76;452.78;555.56;-0.1306;-0.0639;0.1083;-0.1536;64.6934998;63.76271938;65.78095239;65.4146264
77;452.78;555.56;-0.0868;0.3012;-0.02;-0.0924;64.59867624;63.76743055;65.89440407;65.27717582
78;452.78;555.56;-0.0467;0.1407;-0.1257;0.2539;64.55813976;64.13137715;65.8747714;65.20646096
79;452.78;555.56;0.0084;-0.128;0.0666;0.0403;64.55931483;64.30660674;65.75026637;65.48489636
80;452.78;555.56;-0.1748;-0.0581;0.4085;-0.0599;64.61026771;64.21216245;65.8233128;65.53851795
81;452.78;555.56;0.1351;-0.0521;-0.1674;-0.0451;64.47803641;64.19634178;66.23517763;65.48978271
82;452.78;555.56;0.0698;0.496;-0.0342;0.0332;64.6810073;64.18566136;66.05379902;65.45780772
83;452.78;555.56;-0.2304;-0.2265;0.1998;-0.0331;64.79883398;64.72253743;66.01325151;65.50541925
84;452.78;555.56;0.2232;0.0305;-0.0738;0.1035;64.60767224;64.50155599;66.20841139;65.48481524
85;452.78;555.56;0.2844;-0.3127;0.2039;-0.2125;64.88981503;64.5520687;66.12175825;65.6016401
86;452.78;555.56;0.1768;-0.001;0.1627;-0.1223;65.21255784;64.26057447;66.31645028;65.39776701
87;452.78;555.56;-0.027;0.2865;0.0023;-0.2986;65.41653781;64.29282372;66.4617557;65.29229511
88;452.78;555.56;-0.1606;-0.0613;-0.026;0.0664;65.41061534;64.60608314;66.44055898;65.01477105
89;452.78;555.56;0.1582;0.1657;0.141;0.1006;65.27055722;64.53859994;66.39195201;65.11344056
90;452.78;555.56;-0.0605;-0.0099;-0.1166;0.1078;65.45563656;64.70677995;66.51238588;65.24232763
91;452.78;555.56;0.1834;-0.0634;0.1141;-0.0446;65.41600156;64.69289672;66.37016451;65.37321719
92;452.78;555.56;0.0312;-0.0377;0.2103;0.1666;65.61666554;64.63174852;66.4646134;65.34643372
93;452.78;555.56;0.1465;-0.088;0.1847;-0.1227;65.65710742;64.59946017;66.65129675;65.53192882
94;452.78;555.56;0.0535;-0.0939;0.1502;-0.0863;65.81826538;64.52657601;66.80455023;65.42065857
95;452.78;555.56;0.106;-0.1995;-0.1467;0.1797;65.88323154;64.44837075;66.91688417;65.35026518
96;452.78;555.56;0.0016;0.226;0.1017;-0.3942;66.00152732;64.26715935;66.72761729;65.54870597
97;452.78;555.56;0.2679;-0.059;-0.0104;0.238;66.00045648;64.53202381;66.7946729;65.16526104
98;452.78;555.56;0.019;0.0441;-0.1586;0.2124;66.26855753;64.47805043;66.74682036;65.42945777
99;452.78;555.56;0.0603;-0.1315;-0.021;0.1151;66.26981344;64.54156699;66.55277165;65.65741021
100;452.78;555.56;0.2825;0.1675;-0.215;0.0249;66.30416158;64.43424256;66.5044561;65.77889588
101;452.78;555.56;-0.2022;-0.041;-0.0269;0.1223;66.55664284;64.63824611;66.26416744;65.80530268
102;452.78;555.56;-0.1906;-0.0137;-0.0185;-0.2442;66.29935368;64.6206555;66.22207012;65.92804957
103;452.78;555.56;0.1454;-0.2743;0.0807;0.045;66.06715929;64.63650843;66.19014263;65.67937251
104;452.78;555.56;-0.176;0.0594;0.1598;0.2001;66.18342346;64.38068186;66.25875779;65.72987584
105;452.78;555.56;0.2915;0.2717;-0.2102;0.1244;65.97425916;64.47833714;66.40358787;65.93345074
106;452.78;555.56;-0.062;-0.1304;-0.1991;-0.0727;66.25112185;64.78967987;66.17233312;66.05315711
107;452.78;555.56;-0.1121;-0.0687;-0.3069;0.0243;66.14830054;64.6821349;65.96189737;65.9709661
108;452.78;555.56;0.2884;-0.1707;0.1258;-0.0877;65.99263118;64.64044661;65.65252042;65.98906854
109;452.78;555.56;0.2221;0.0194;-0.103;-0.1045;66.23367275;64.50037346;65.78889314;65.89444542
110;452.78;555.56;0.2801;0.0096;-0.0843;-0.1721;66.3998357;64.5563226;65.69070981;65.78681592
111;452.78;555.56;0.1359;0.1058;-0.0066;0.1079;66.60998863;64.59427128;65.61537003;65.6159048
112;452.78;555.56;-0.1292;0.0827;-0.0007;-0.1409;66.66029909;64.71892315;65.62091184;65.73185836
113;452.78;555.56;0.2865;-0.1219;0.1026;-0.1873;66.44276344;64.81649282;65.63211955;65.59435365
114;452.78;555.56;-0.0402;0.0337;-0.324;0.1466;66.65429529;64.69718056;65.74615387;65.41597345
115;452.78;555.56;0.1204;-0.0492;-0.0296;-0.1462;66.53140297;64.73455684;65.42877385;65.57866865
116;452.78;555.56;0.1421;-0.1637;-0.1849;-0.1379;66.56298299;64.69298837;65.41920348;65.44201899
117;452.78;555.56;-0.0233;-0.019;0.2538;0.0233;66.61398623;64.53430346;65.25473797;65.31916589
118;452.78;555.56;0.0921;0.5702;0.0797;-0.2011;66.48960501;64.52637523;65.53593461;65.3624593
119;452.78;555.56;0.1383;0.3473;0.0528;0.1586;66.4998946;65.10994079;65.63113296;65.17960902
120;452.78;555.56;0.0565;0.021;0.3258;-0.0117;66.55979637;65.42283738;65.69540895;65.36382713
121;452.78;555.56;-0.1649;0.2608;-0.0219;0.2556;66.53706114;65.39526997;66.02997078;65.37032178
122;452.78;555.56;0.0447;-0.0068;0.1344;-0.0411;66.30837958;65.60966395;66.00272657;65.6438549
123;452.78;555.56;0.199;-0.008;-0.2192;-0.0465;66.30171855;65.55269587;66.13292971;65.60968523
124;452.78;555.56;-0.1042;-0.2924;0.0302;-0.2632;66.45523427;65.49707549;65.90405167;65.57148877
125;452.78;555.56;-0.0224;-0.144;0.3412;0.0629;66.2868;65.15934945;65.93421235;65.31812777
126;452.78;555.56;-0.0653;-0.1175;0.0747;0.1924;66.2114341;64.98311666;66.27410192;65.40106299
127;452.78;555.56;0.2774;0.0161;-0.1128;-0.0794;66.11195005;64.8489006;66.33318702;65.61015841
128;452.78;555.56;0.1008;0.0021;-0.1463;0.1544;66.36356301;64.86598027;66.20228923;65.53904293
129;452.78;555.56;0.0611;-0.0868;-0.2361;0.0229;66.41812459;64.86501873;66.04339356;65.70458657
130;452.78;555.56;-0.1155;-0.0883;0.0665;-0.1287;66.42306192;64.78187686;65.80138415;65.7319771
131;452.78;555.56;0.0809;-0.0249;0.1292;0.0699;66.24090716;64.7040907;65.8721739;65.60666762
132;452.78;555.56;-0.1011;-0.2072;0.0191;0.0407;66.26895248;64.69005853;66.00267838;65.68499245
133;452.78;555.56;0.0048;-0.0919;-0.1217;-0.1136;66.11883104;64.49784599;66.01758355;65.73097002
134;452.78;555.56;-0.0954;-0.0572;0.0363;0.2563;66.08415957;64.43611007;65.89106099;65.62080098
135;452.78;555.56;0.1015;-0.1873;-0.103;0.0389;65.94601936;64.40893397;65.92786924;65.88495776
136;452.78;555.56;0.0865;-0.0495;0.1831;0.0409;66.01455179;64.2641508;65.82382612;65.92110879
137;452.78;555.56;-0.0312;-0.1252;-0.0616;0.0046;66.05961821;64.26867826;66.01026929;65.95781003
138;452.78;555.56;0.0594;0.1853;-0.1324;0.0981;65.99216071;64.19866239;65.94415476;65.95673983
139;452.78;555.56;-0.164;-0.0366;-0.0818;0.1076;66.01653239;64.44397285;65.81002538;66.04921252
140;452.78;555.56;-0.2237;-0.0284;0.058;-0.0409;65.81039887;64.45404059;65.73215063;66.14747953
141;452.78;555.56;0.0659;0.0642;-0.1846;0.1747;65.5535569;64.47554437;65.79736158;66.09331149
142;452.78;555.56;0.025;0.0835;0.1001;-0.0283;65.60439082;64.5859866;65.61722101;66.25691222
143;452.78;555.56;0.0953;-0.2604;-0.0407;0.0982;65.60368518;64.71461336;65.72938463;66.21096547
144;452.78;555.56;0.3575;-0.0565;0.0123;0.1123;65.67805761;64.48858565;65.69601232;66.29335673
145;452.78;555.56;0.1417;-0.1364;-0.0195;0.2339;66.00878258;64.48542762;65.71704867;66.38655252
146;452.78;555.56;-0.1369;-0.0218;0.3396;-0.1891;66.10488718;64.40631395;65.70539703;66.59762315
147;452.78;555.56;0.1676;-0.0804;-0.0254;-0.0946;65.9161822;64.45572027;66.05333721;66.37726664
148;452.78;555.56;-0.1974;0.0236;0.1268;0.0948;66.05787642;64.43429774;66.02160915;66.26020832
149;452.78;555.56;-0.0692;-0.1471;0.368;0.0437;65.82480011;64.51368285;66.14341706;66.33722973
150;452.78;555.56;-0.0102;-0.0852;0.0639;-0.1247;65.73893002;64.41993705;66.50129776;66.36007153
151;452.78;555.56;0.257;-0.0887;0.2771;-0.0314;65.73221629;64.39551194;66.54004163;66.21360037
152;452.78;555.56;-0.1117;0.1624;0.0146;-0.1058;65.99472842;64.36342616;66.79036004;66.16628621
153;452.78;555.56;-0.124;0.0552;0.1195;-0.2336;65.88338984;64.5827759;66.76768807;66.04646541
154;452.78;555.56;-0.0148;0.0553;-0.0883;0.261;65.76543194;64.67490152;66.85086544;65.80364247
155;452.78;555.56;-0.0995;-0.0429;-0.1668;-0.1762;65.76718638;64.75100344;66.72276075;66.06515599
156;452.78;555.56;0.169;-0.0577;-0.1453;-0.0559;65.67877247;64.73411767;66.5215198;65.87898435
157;452.78;555.56;-0.162;0.0842;-0.0036;-0.0546;65.85569572;64.69613934;66.35021522;65.82057498
158;452.78;555.56;-0.1721;0.1166;0.0429;0.0728;65.68387833;64.80034897;66.32780207;65.76580898
159;452.78;555.56;-0.0657;0.0023;-0.1675;-0.2502;65.51126391;64.92754209;66.35283052;65.84064113
160;452.78;555.56;-0.0747;0.1712;-0.2068;-0.0614;65.45640654;64.934636;66.16640752;65.58946996
161;452.78;555.56;0.2894;0.1911;-0.2815;0.0731;65.38799064;65.10005194;65.94852103;65.53718608
162;452.78;555.56;0.1424;-0.2497;0.319;-0.0103;65.67859171;65.27183142;65.66510766;65.6215044
163;452.78;555.56;0.0131;0.0646;0.0161;-0.0352;65.79287998;64.99434193;65.99414885;65.61903291
164;452.78;555.56;-0.1838;-0.0064;-0.3218;0.0274;65.78492884;65.05021734;66.00641328;65.59176075
165;452.78;555.56;0.1267;0.0582;-0.0014;0.1538;65.58106827;65.03013436;65.68026115;65.62818478
166;452.78;555.56;-0.15;0.1674;-0.0239;-0.0593;65.68611738;65.07750335;65.6882625;65.78954482
167;452.78;555.56;-0.2317;-0.1381;-0.2066;-0.1615;65.50853429;65.2372796;65.67342604;65.73132417
