;q_A [cm^3/s];q_B [cm^3/s];q_d1 [cm^3/s];q_d2 [cm^3/s];q_d3 [cm^3/s];q_d4 [cm^3/s];x1 [cm];x2 [cm];x3 [cm];x4 [cm]
0;452.78;555.56;0.2944;0.0136;-0.0161;-0.2975;65.0;66.0;65.0;66.0
1;452.78;555.56;0.3326;0.0028;-0.0463;0.1375;65.2787259553592;65.95090366055302;65.02209754730544;65.69513879289984
2;452.78;555.56;-0.0522;-0.2067;0.1177;-0.1198;65.57989049331677;65.88214512761408;65.01305731998531;65.83750879578145
3;452.78;555.56;-0.1377;-0.2003;0.3178;-0.3483;65.47786787844262;65.61432244167662;65.16840072212406;65.71686330674652
4;452.78;555.56;-0.139;0.1195;0.3153;-0.0894;65.30302792565239;65.36646667283642;65.51725570373952;65.37256077154687
5;452.78;555.56;0.3881;0.0229;0.3355;0.1811;65.15211002232054;65.44163627404279;65.84884361508463;65.30100373512907
6;452.78;555.56;0.3611;-0.09;-0.1614;-0.2315;65.55132763403729;65.41214310611795;66.18663177353238;65.50282880724558
7;452.78;555.56;0.0913;0.4503;0.5868;-0.0876;65.91389129812666;65.27990711936845;66.01329459880708;65.28392900134281
8;452.78;555.56;-0.115;0.4926;0.1383;-0.0752;65.97773583981188;65.688276001526;66.59545265742605;65.21774202721485
9;452.78;555.56;0.0228;0.002;0.3696;-0.194;65.85594226775535;66.10814985357105;66.70464720087098;65.1666226262706
10;452.78;555.56;0.3027;-0.0638;0.0363;0.0978;65.88377915984107;66.00653360364305;67.0405650835423;64.99876444768644
11;452.78;555.56;0.0702;-0.0124;0.2009;-0.0209;66.2039134034441;65.83931196769534;67.02912710915524;65.12948029227472
12;452.78;555.56;-0.0178;0.1213;-0.3956;-0.132;66.2720213437721;65.74024561387668;67.18276715557592;65.13622026376653
13;452.78;555.56;0.1834;-0.3289;0.0367;0.1098;66.25450033457918;65.7819587223852;66.73348961173986;65.03158834424178
14;452.78;555.56;0.1011;0.0477;-0.203;-0.2823;66.4204329306283;65.36638234678809;66.73529925064102;65.17297887232445
15;452.78;555.56;-0.1631;0.1391;0.1268;-0.293;66.49429006319741;65.36171524235125;66.49733309026728;64.91656435494156
16;452.78;555.56;0.0778;0.0681;-0.259;-0.2085;66.28958994302799;65.43841910217105;66.59914331165213;64.65980062677947
17;452.78;555.56;-0.085;0.2404;0.1173;0.0432;66.34220811703699;65.42845100939836;66.31088310781014;64.49792228905179
18;452.78;555.56;0.0079;0.2129;-0.1411;0.2877;66.21680234637924;65.58491162275213;66.41102244955175;64.59430208809941
19;452.78;555.56;-0.1056;0.1744;0.0083;0.1365;66.19595131613161;65.7070030792077;66.2485555280746;64.93127628641855
20;452.78;555.56;-0.1021;-0.1122;-0.1559;-0.0116;66.05601353567864;65.79582791717147;66.24231448762556;65.10341812353818
21;452.78;555.56;-0.1777;0.1475;-0.1293;-0.0822;65.92763462660211;65.59889755586754;66.0721358249298;65.12050957750755
22;452.78;555.56;0.2175;-0.2892;0.1894;-0.003;65.72413818560345;65.6758988140218;65.93571636306278;65.06631145021146
23;452.78;555.56;0.1347;-0.0796;0.2592;-0.1252;65.92222434028075;65.30871559679696;66.12374255553298;65.09350034222412
24;452.78;555.56;-0.2135;0.1118;-0.0052;0.171;66.03362210909616;65.17751872392847;66.37365109084614;64.9973919859924
25;452.78;555.56;0.2436;-0.1547;-0.3356;-0.4381;65.80069437929775;65.24289541254262;66.34865354861259;65.20136325317033
26;452.78;555.56;0.6727;-0.2441;0.3333;0.1112;66.03768937358727;65.04549000822351;65.99430600406755;64.78800418464989
27;452.78;555.56;-0.1665;0.1034;0.001;-0.2548;66.67476426825995;64.75562414642036;66.323763816548;64.94063779128984
28;452.78;555.56;-0.0681;-0.2632;-0.1866;0.1613;66.44868156003098;64.83948306996106;66.3070619377685;64.72110141241951
29;452.78;555.56;-0.3717;-0.1319;0.212;0.2326;66.33369675437741;64.54205876217522;66.10346184721679;64.92654175453333
30;452.78;555.56;0.0002;-0.0198;-0.3465;0.1243;65.91337363485717;64.40485275000243;66.3070238474984;65.19497488278336
31;452.78;555.56;0.0703;0.0723;0.0501;0.1706;65.8985055569436;64.40010554371862;65.94352535754449;65.3442733925369
32;452.78;555.56;0.3043;-0.2583;0.2324;0.1906;65.9393274414309;64.49380444909903;65.99192249396259;65.53385550054615
33;452.78;555.56;-0.1361;-0.035;0.0302;0.155;66.21375701546282;64.25802773225271;66.22058070227322;65.73580776274315
34;452.78;555.56;0.1876;0.1122;0.0867;-0.1382;66.04108489139469;64.2700454702613;66.23741583976103;65.89404446473917
35;452.78;555.56;-0.1363;-0.0611;-0.0089;-0.1587;66.2030882668547;64.43477775631304;66.31004312834337;65.75273104658385
36;452.78;555.56;-0.0402;-0.014;-0.2909;-0.1948;66.03461065296639;64.40909374690764;66.28401776609621;65.59658824378083
37;452.78;555.56;-0.0035;0.007;-0.1483;-0.2176;65.9711582208173;64.42602053273674;65.97708610265217;65.41061821977296
38;452.78;555.56;-0.3576;0.1758;-0.1202;-0.083;65.93526759937379;64.45529104503323;65.82566927537891;65.20932898298325
39;452.78;555.56;-0.1703;-0.178;0.0143;-0.058;65.54103170143333;64.64322021238529;65.70873471492199;65.15074875493542
40;452.78;555.56;-0.3257;0.1839;-0.2661;-0.2222;65.35267383620891;64.4619496169383;65.7312340078212;65.1195308026937
41;452.78;555.56;0.1934;-0.2868;-0.1298;0.1725;65.02112409227296;64.65389493634537;65.47238364074403;64.92537216314527
42;452.78;555.56;0.0106;0.12;0.1065;0.012;65.21759559976552;64.3539860196945;65.36076878459669;65.13375254792464
43;452.78;555.56;0.0579;-0.2137;0.1845;-0.2185;65.21477218573612;64.49010319979305;65.4901759300276;65.17322017463201
44;452.78;555.56;0.0125;-0.1084;-0.0639;0.1989;65.26489218383958;64.28465987987583;65.6921087215987;64.9805959261
45;452.78;555.56;-0.2196;-0.2158;0.3523;-0.3769;65.27514331512049;64.19101316779579;65.63710987614888;65.21314549723256
46;452.78;555.56;0.0261;0.0402;0.2769;0.1631;65.05035849607421;64.00586253951103;66.00063342463922;64.86051140323961
47;452.78;555.56;-0.0371;0.3061;0.067;0.1236;65.10007094098012;64.07536592970683;66.27342472862931;65.06211310870962
48;452.78;555.56;-0.2681;0.2028;-0.208;-0.2032;65.09508125940347;64.41407181211984;66.32483829212833;65.21607145147979
49;452.78;555.56;-0.0648;0.0016;0.2273;-0.1945;64.86155120542853;64.6321349077248;66.09909126850049;65.0370193982577
50;452.78;555.56;0.2969;-0.147;0.4309;-0.0426;64.8358368994152;64.62664359784057;66.31813721125161;64.87389067123488
51;452.78;555.56;0.2626;-0.0994;0.2823;-0.0934;65.1825780616528;64.46634340066751;66.73157174422845;64.86925155188446
52;452.78;555.56;-0.1264;0.1219;0.4433;0.3097;65.49156883323234;64.36457666341735;66.97906171683414;64.81399995149087
53;452.78;555.56;-0.0783;0.131;0.2235;-0.1077;65.40343228909927;64.48894341301875;67.37719459806321;65.16408220499356
54;452.78;555.56;-0.4737;-0.0979;0.0727;-0.0554;65.38528499214294;64.62791206473464;67.53890627207633;65.08262648165719
55;452.78;555.56;-0.1181;0.1845;-0.0952;-0.0441;64.97955991723053;64.52505435503754;67.54308085300956;65.05675692876669
56;452.78;555.56;-0.3426;-0.3052;-0.2613;0.0132;64.95390867588864;64.71068675267892;67.37918162298516;65.04323146216124
57;452.78;555.56;-0.2626;-0.1527;0.3318;0.1811;64.69846823299915;64.3932018739627;67.05601046623948;65.08755196139073
58;452.78;555.56;0.0908;-0.1832;-0.134;0.357;64.52488106110555;64.25203071286407;67.33942705639797;65.29798364134375
59;452.78;555.56;-0.3567;0.0875;0.0022;-0.2011;64.72696663713889;64.09865539686473;67.14521333356524;65.67583038874278
60;452.78;555.56;0.2851;-0.0419;-0.2685;0.3555;64.46129261195111;64.24185248958293;67.09530374580554;65.48037601076574
61;452.78;555.56;-0.0691;0.1252;-0.2176;0.0725;64.85131832429333;64.23782823139936;66.77677867374125;65.84937946838897
62;452.78;555.56;0.1997;0.1056;-0.2132;0.164;64.85036767758989;64.41600904506026;66.52247537095934;65.9205577064237
63;452.78;555.56;0.1451;-0.0536;-0.0596;-0.1111;65.10761548459229;64.56506221510425;66.2832306966955;66.08038104434404
64;452.78;555.56;-0.1857;0.2154;-0.1275;-0.4745;65.28478581440945;64.55097496543725;66.2076321126721;65.95869961128672
65;452.78;555.56;-0.136;-0.2743;0.1461;-0.0886;65.11736782549957;64.80198937966613;66.06731174678879;65.47849374327107
66;452.78;555.56;-0.2225;-0.0767;-0.1587;-0.0531;65.00377154784584;64.52662187845768;66.20649536208028;65.40347293050456
67;452.78;555.56;0.0025;0.1272;-0.0694;0.2729;64.81634141087659;64.4649216437083;66.03502279984222;65.366971330476
68;452.78;555.56;-0.1053;-0.1036;-0.296;-0.0411;64.85794488911941;64.60993397049056;65.9600658600838;65.65793936361572
69;452.78;555.56;-0.1359;-0.2289;0.1138;0.0992;64.78609283899699;64.52578884909938;65.66166607577861;65.62320377039794
70;452.78;555.56;0.292;0.0379;0.0646;-0.1439;64.67536985622645;64.32078460176794;65.78565258833316;65.73016398423029
71;452.78;555.56;0.2733;0.1971;-0.2045;-0.1936;65.00443460692705;64.40111319750147;65.85520596979146;65.58972731503839
72;452.78;555.56;0.3416;-0.033;0.1086;-0.0161;65.29797225808137;64.6294184512392;65.65272585256129;65.40523308862882
73;452.78;555.56;0.0478;-0.2825;0.2271;-0.1994;65.63368074428902;64.60435920555778;65.77188989834829;65.40566063120261
74;452.78;555.56;-0.092;0.1479;0.3542;-0.0275;65.66055629778624;64.33155473246799;66.00452392179635;65.22277096265177
75;452.78;555.56;0.2317;-0.0266;0.189;-0.0387;65.5558344868634;64.50072032521004;66.35445136590351;65.21914883001341
76;452.78;555.56;0.0507;0.0239;-0.2269;0.074;65.79578290751887;64.48349200631391;66.52446027201091;65.20447271577902
77;452.78;555.56;0.0407;0.1784;0.1846;-0.0522;65.84755108540259;64.51736774495204;66.27143232566738;65.30308827869109
78;452.78;555.56;0.3546;0.0312;-0.1832;-0.0377;65.87560856211867;64.7073669557885;66.4405296341353;65.27152936915401
79;452.78;555.56;0.1977;-0.0071;0.2339;-0.0889;66.2229973336803;64.73571992821202;66.23472389482856;65.25574204184277
80;452.78;555.56;-0.1623;-0.2245;-0.4014;0.2565;66.38417079724191;64.72317232471794;66.4546643626796;65.18939093820161
81;452.78;555.56;-0.3047;-0.0853;-0.1828;0.3222;66.1850126352857;64.4914192242698;66.03006529403554;65.47111460222041
82;452.78;555.56;-0.0602;0.0682;0.0054;-0.1269;65.83743214115823;64.42628423188924;65.84191710702761;65.80719068627566
83;452.78;555.56;-0.0781;-0.2568;0.2274;0.1219;65.74710969532435;64.532676072489;65.84989734403491;65.68066180972832
84;452.78;555.56;0.0936;-0.3427;0.285;0.0242;65.64460829091367;64.3016026344867;66.07954106994805;65.80801334273954
85;452.78;555.56;0.3027;0.2904;0.2916;-0.1481;65.72959685078695;64.00578965229592;66.35710988706644;65.83255145073451
86;452.78;555.56;0.0849;0.2267;-0.0701;0.2663;66.03028638735016;64.36464640453747;66.62960712003321;65.68380487208991
87;452.78;555.56;0.0245;0.0078;-0.0695;0.1509;66.10669698393116;64.62886528947178;66.52896974766367;65.95543014507267
88;452.78;555.56;-0.2775;-0.3312;0.1677;0.0378;66.1139416851354;64.6667467420672;66.43315262098236;66.10075534094103
89;452.78;555.56;-0.0934;0.0997;0.2866;0.1104;65.8147344618808;64.36882474632064;66.57855656944942;66.12715798385499
90;452.78;555.56;0.2547;0.3996;0.0432;-0.0508;65.72354197421417;64.52353313302063;66.83675961217443;66.22510347419762
91;452.78;555.56;0.0243;-0.1067;-0.0072;-0.1187;65.9967042104195;64.9713199887374;66.84074528447599;66.15792910387643
92;452.78;555.56;-0.2435;-0.2202;-0.2778;0.2322;66.02335720576353;64.87910134334612;66.79416414165816;66.0255427956315
93;452.78;555.56;0.0807;0.3206;-0.3433;-0.0253;65.77867401459238;64.67446017370216;66.47893290257684;66.24935808042137
94;452.78;555.56;-0.2946;0.0535;-0.0094;0.2814;65.85955185864513;65.03375082016936;66.11141526773697;66.20671346828682
95;452.78;555.56;-0.1615;0.2546;-0.4077;0.579;65.54486427228636;65.09936849690257;66.09324255178937;66.47247486027995
96;452.78;555.56;-0.2066;-0.1335;-0.0326;0.0204;65.38128468448443;65.3721750014205;65.67753465621578;67.02521336572963
97;452.78;555.56;0.1706;-0.0331;-0.272;-0.1501;65.1648569439645;65.26008153948831;65.6544511239083;66.99732587211419
98;452.78;555.56;-0.159;0.236;-0.1491;0.2781;65.3376079376523;65.25500961070614;65.39294231187657;66.80004748283606
99;452.78;555.56;0.1864;0.0639;-0.0558;-0.0179;65.15936344855805;65.51153513435874;65.26538790398195;67.03882158869295
100;452.78;555.56;0.3402;-0.1564;-0.0143;0.0331;65.33178915723543;65.58778092253853;65.23653344882138;66.97209297068386
101;452.78;555.56;0.0229;-0.1154;0.0994;-0.206;65.64647054110043;65.435823762192;65.25040126440129;66.95901830976496
102;452.78;555.56;-0.0561;-0.0916;-0.2307;0.1038;65.62563643382701;65.33481065176153;65.3773816074957;66.70736381433785
103;452.78;555.56;-0.232;0.1199;0.0587;0.2654;65.53242209768271;65.25453852676894;65.16888567209887;66.77553111649893
104;452.78;555.56;0.4015;0.4983;0.3278;-0.1065;65.26004335627921;65.39401989219257;65.25862009833047;67.00258188462553
105;452.78;555.56;-0.0014;-0.0611;0.4238;-0.0603;65.64125366971423;65.9113205959036;65.61365230222549;66.84869444255202
106;452.78;555.56;0.1189;-0.1566;0.0999;-0.0266;65.61179688881673;65.82751250971043;66.04966667163163;66.74713112246278
107;452.78;555.56;0.0174;-0.1087;0.1932;0.1991;65.72278626992053;65.6499143181106;66.14339314728346;66.68331348970216
108;452.78;555.56;-0.062;0.0929;-0.1028;-0.1738;65.7295975409354;65.52988123864068;66.32647485940949;66.84773955216687
109;452.78;555.56;0.0774;-0.233;0.28;0.0085;65.66430005375516;65.62626042554702;66.20585907495723;66.63271425499599
110;452.78;555.56;-0.2623;-0.3151;0.2999;-0.2975;65.7372280884863;65.38153696368252;66.4731132706094;66.60855800825296
111;452.78;555.56;0.3736;-0.0429;0.258;-0.0559;65.4773331198485;65.07060337519242;66.74903987251012;66.27936528412334
112;452.78;555.56;-0.1168;0.0533;0.1445;0.3776;65.88042177672092;65.04018044559434;66.97149820035503;66.20492055838012
113;452.78;555.56;-0.0127;0.2155;0.3823;0.1584;65.77836893871373;65.10508200851494;67.07114731989263;66.56695368803761
114;452.78;555.56;0.0008;0.067;0.1774;0.1676;65.79066321707332;65.34216517248151;67.40443143960123;66.6953208492393
115;452.78;555.56;-0.0467;0.2518;-0.0724;-0.1848;65.82963226398577;65.4195058542203;67.518907829952;66.82776821964768
116;452.78;555.56;0.263;0.1239;0.3638;0.248;65.82354759391112;65.68159266297513;67.37881513146122;66.60253822610015
117;452.78;555.56;-0.373;0.0406;0.215;-0.123;66.12168874485229;65.78875932662419;67.68075925212257;66.81908564081279
118;452.78;555.56;0.0778;-0.0119;-0.1889;0.3641;65.77865330979822;65.81389034091579;67.82133071345466;66.65600144425166
119;452.78;555.56;0.292;0.0507;-0.4886;0.2489;65.91268698264469;65.77829531494312;67.55215848425526;66.98651650440371
120;452.78;555.56;-0.0721;0.0555;0.0682;-0.092;66.24173847533204;65.82090965670389;66.99448132063301;67.18866807300819
121;452.78;555.56;-0.0905;-0.2007;-0.4184;0.0245;66.1638506532782;65.87343100645727;67.01686954786231;67.0418845103362
122;452.78;555.56;0.2752;-0.2815;-0.0427;0.1098;66.07312752062109;65.66031164813727;66.55172191289947;67.017434104304
123;452.78;555.56;-0.0292;0.0254;0.0313;-0.1787;66.33402333322583;65.38006755286216;66.48175039112583;67.07925597392787
124;452.78;555.56;-0.2989;-0.2423;-0.0818;0.0383;66.27207869938037;65.42847867727517;66.48871451652911;66.85011982613543
125;452.78;555.56;0.3499;-0.4897;0.2771;0.1719;65.94440486240865;65.19673726031183;66.38228639364362;66.84709974899636
126;452.78;555.56;0.2898;-0.096;0.0658;-0.0366;66.28055051408825;64.73345830047279;66.63922617978237;66.9777999283924
127;452.78;555.56;-0.2014;0.2297;0.2174;-0.5144;66.54738594102925;64.70111795976376;66.67408559739633;66.89479823639753
128;452.78;555.56;0.2517;0.0869;-0.1201;0.2571;66.30864970744149;64.99341541679966;66.85908402798289;66.33729942564686
129;452.78;555.56;0.1058;0.1844;0.2182;0.0907;66.54492441322132;65.10044370782491;66.69883540503868;66.57353843954758
130;452.78;555.56;-0.1028;-0.0332;0.3691;0.193;66.61457114196004;65.30701002658219;66.88359678254481;66.63394285472685
131;452.78;555.56;-0.4757;0.4753;0.1331;0.1244;66.47922624032532;65.28412767862149;67.2115224602183;66.79423760737203
132;452.78;555.56;0.0714;-0.2235;0.0419;0.1867;65.99270750768538;65.77771289700382;67.28974461431264;66.87954314592874
133;452.78;555.56;0.3027;-0.1972;-0.0161;0.2841;66.08545894743582;65.54191037613354;67.27350292292964;67.02375160292549
134;452.78;555.56;-0.1173;-0.2128;-0.2645;-0.3703;66.40331386188159;65.35436542068639;67.19993876541943;67.25962223886697
135;452.78;555.56;-0.1383;0.0876;0.0462;0.0377;66.27921495840035;65.17351326356052;66.88104441446458;66.83172125283971
136;452.78;555.56;-0.06;-0.0373;0.1298;0.0777;66.12815665915288;65.2885251794258;66.88617688337767;66.8288338311391
137;452.78;555.56;-0.0694;0.032;-0.2456;-0.4651;66.06459034669261;65.27058502075614;66.97469461154242;66.86606139953125
138;452.78;555.56;0.1181;-0.0365;-0.1178;-0.006;65.99910703854243;65.32466484794213;66.68411008370214;66.35900658944828
139;452.78;555.56;0.3519;-0.0072;0.2585;0.0426;66.11285750415044;65.28628826566057;66.53348845048636;66.33127799143573
140;452.78;555.56;-0.1608;-0.1064;0.1886;0.0534;66.44732539282488;65.27875027101227;66.76548176280257;66.35325770071299
141;452.78;555.56;0.1049;-0.0908;-0.0123;-0.2647;66.25895118992086;65.17341081967031;66.91785151686588;66.3851588657635
142;452.78;555.56;0.243;-0.134;0.4549;0.2182;66.35383636627007;65.0922160745373;66.86294417145211;66.09768517793431
143;452.78;555.56;-0.0147;-0.586;-0.1114;0.0123;66.57888979146423;64.96192960765114;67.27753401413268;66.30461076280099
144;452.78;555.56;0.2094;0.032;-0.3178;-0.0366;66.55021713300414;64.39692819826874;67.10850168911506;66.29735657516095
145;452.78;555.56;0.0292;0.1721;0.0279;0.091;66.74028788251216;64.488794038563;66.74012531852493;66.24149243269234
146;452.78;555.56;0.1594;-0.1303;0.2215;-0.0098;66.72349232764864;64.71214732158454;66.73285701652347;66.31546244567244
147;452.78;555.56;-0.0868;-0.1114;0.0695;0.0407;66.8375865194721;64.62056978529738;66.91949315280894;66.28567440333832
148;452.78;555.56;-0.1712;0.069;0.0961;-0.0428;66.70654170413894;64.55304861298922;66.94631713990344;66.30757738409069
149;452.78;555.56;0.2625;-0.2026;0.1371;0.082;66.49997342915422;64.6714861019967;66.99861923387584;66.24510458619909
150;452.78;555.56;0.2419;-0.3178;0.201;0.2502;66.74153127531045;64.50761273860634;67.08973447821455;66.30993011108448
151;452.78;555.56;-0.0521;0.4132;0.0622;0.1258;66.95198624171431;64.24249684274756;67.24094205934777;66.5403632493011
152;452.78;555.56;0.0967;-0.0082;0.4074;0.449;66.86230757248498;64.736002923601;67.24703644813562;66.63719155952704
