;q_A [cm^3/s];q_B [cm^3/s];q_d1 [cm^3/s];q_d2 [cm^3/s];q_d3 [cm^3/s];q_d4 [cm^3/s];x1 [cm];x2 [cm];x3 [cm];x4 [cm]
0;452.78;555.56;-0.0206;-0.0099;0.1407;-0.3061;65.0;66.0;65.0;66.0
1;452.78;555.56;0.0821;0.0478;0.1858;0.0655;64.96372595535921;65.92740366055303;65.17889754730544;65.68653879289984
2;452.78;555.56;0.0288;-0.2001;0.0742;0.0558;65.03991528676353;65.90491270550508;65.39530762120752;65.75725424394513
3;452.78;555.56;0.2909;0.3348;-0.198;-0.0754;65.0673996603095;65.63890564027443;65.49095312887182;65.81542984023577
4;452.78;555.56;0.1522;0.0323;0.1287;0.0008;65.35938186847193;65.92841547392229;65.31035305868677;65.74007031318334
5;452.78;555.56;0.0243;0.3127;0.1378;-0.2967;65.48753916331678;65.89250497017649;65.46409442424081;65.74393585673535
6;452.78;555.56;0.0888;-0.1581;0.0549;-0.296;65.48664059109045;66.13961509081398;65.62043011500336;65.45014618805503
7;452.78;555.56;0.0667;-0.1815;-0.1207;0.0269;65.55690333805312;65.88716409478322;65.68725817920925;65.16886601929448
8;452.78;555.56;0.2988;0.0449;0.1418;-0.1335;65.60369089564031;65.61729993144591;65.57566411478301;65.22181736627917
9;452.78;555.56;-0.041;-0.3357;0.0846;-0.0023;65.87507134400184;65.59452044220514;65.73128343722905;65.11223367541255
10;452.78;555.56;0.0626;0.043;-0.6234;0.1679;65.79703883529884;65.1882890332185;65.8231309839928;65.13826944094293
11;452.78;555.56;-0.1708;0.0194;0.1289;-0.0348;65.83113170580717;65.18980802597858;65.20310347583788;65.33345486022723
12;452.78;555.56;-0.5106;0.2031;-0.3827;-0.5621;65.6035807319278;65.17548973717103;65.36158771851329;65.31807270017804
13;452.78;555.56;0.1307;0.1402;0.1327;-0.0301;65.0565145947639;65.3452403331719;65.00176020327757;64.77601014085646
14;452.78;555.56;0.1729;-0.0835;-0.0308;-0.0962;65.16822643054793;65.41849759277899;65.17258304532044;64.78782889664261
15;452.78;555.56;-0.1484;-0.2195;0.2387;-0.0469;65.32268907013417;65.26348319247006;65.17266075496185;64.73306959321404
16;452.78;555.56;0.454;0.3425;-0.0196;0.1799;65.14660827854554;64.9809421446144;65.44223517085581;64.7298256269787
17;452.78;555.56;-0.2909;-0.1584;-0.1773;-0.3157;65.59488343257708;65.27978455477486;65.44209538519384;64.9535129277271
18;452.78;555.56;0.0092;-0.2091;-0.0295;0.0488;65.27144290090703;65.0661314231928;65.28426151217663;64.67255642247622
19;452.78;555.56;-0.0374;-0.217;0.212;0.3141;65.26075689647634;64.80516752806072;65.28090771973532;64.76746166148553
20;452.78;555.56;0.3066;0.2235;0.0052;-0.1252;65.20396846412721;64.5581946027245;65.51919595906462;65.12382622360315
21;452.78;555.56;0.2939;-0.1038;-0.0229;0.0945;65.5046622945543;64.7832342432618;65.54060184926819;65.02649429155174
22;452.78;555.56;0.031;-0.1507;0.1487;0.1933;65.77557524875233;64.66144842433602;65.53300292083853;65.15279047810304
23;452.78;555.56;0.0756;0.0275;0.0421;0.042;65.76709795230327;64.50629661643305;65.69732517923217;65.37279017453669
24;452.78;555.56;-0.1776;-0.0414;-0.0012;-0.137;65.81066743100688;64.54897146754467;65.74810611292385;65.43262390097338
25;452.78;555.56;-0.3962;-0.1356;0.2732;-0.1419;65.60058280817749;64.52219399103824;65.7534437073041;65.31104891449463
26;452.78;555.56;-0.0696;0.1508;0.311;0.1488;65.1846557788425;64.39817901130601;66.03295606292875;65.18946930086561
27;452.78;555.56;0.0313;0.2131;0.1227;0.1184;65.13198199763691;64.56427332827691;66.3384861492496;65.36348980510009
28;452.78;555.56;0.2461;0.1971;-0.0572;-0.1573;65.19621408037644;64.78815113931843;66.44286573310973;65.50009803339537
29;452.78;555.56;0.2405;0.1534;0.2994;-0.2353;65.4757819748918;64.98601097962684;66.36296192771114;65.35550807673715
30;452.78;555.56;-0.0775;0.0805;0.2366;-0.2562;65.7296702314844;65.12066056656889;66.64301334927958;65.13873772986577
31;452.78;555.56;-0.0605;-0.3552;0.1438;0.3323;65.66215194866648;65.16436829613104;66.84851402498795;64.90980425915532
32;452.78;555.56;-0.2097;0.3339;-0.2432;-0.0136;65.62426864212541;64.7601147581752;66.9526077459559;65.2786136948485
33;452.78;555.56;-0.284;0.0604;0.0281;0.472;65.44380098808962;65.08779906940643;66.66534677258976;65.28664089674405
34;452.78;555.56;-0.3413;0.1216;-0.1487;0.1111;65.1877873872636;65.1196395836185;66.66141141867439;65.77994465231914
35;452.78;555.56;0.3902;0.223;-0.0318;0.0879;64.88962656547953;65.2303196633843;66.48084099037824;65.89250935038088
36;452.78;555.56;-0.1019;0.2867;0.048;0.0613;65.33327043040491;65.43927486787415;66.42474327975269;65.9773575005056
37;452.78;555.56;-0.0876;0.0837;0.02;0.1998;65.25587401984015;65.70092322319492;66.45080027420568;66.03220375131943
38;452.78;555.56;-0.2506;0.0871;-0.095;-0.1932;65.19850297886737;65.7437595515417;66.44776340099786;66.22335216200055
39;452.78;555.56;0.1555;-0.1198;0.2546;0.432;64.98143939213934;65.79470349134637;66.329854004106;66.01384785520078
40;452.78;555.56;-0.3228;0.0066;-0.3392;-0.0201;65.17853393653994;65.62685796800727;66.56649624664404;66.43793173547286
41;452.78;555.56;-0.0425;-0.1708;0.146;-0.1407;64.89544807788872;65.61391910246289;66.19940506674976;66.39294977988418
42;452.78;555.56;-0.1791;-0.144;-0.3715;0.0605;64.894219173436;65.42267353819517;66.33293068116997;66.22916479356307
43;452.78;555.56;0.0774;-0.1787;0.0765;0.2185;64.76207666809333;65.26484891137375;65.94334366186408;66.2731279484454
44;452.78;555.56;-0.1022;-0.0312;-0.1774;-0.2015;64.87797832677755;65.08496496260146;66.01814845436832;66.47333265747993
45;452.78;555.56;-0.2361;0.2098;0.1757;0.1134;64.81047008539919;65.07300078163169;65.83590209874511;66.2455369098882
46;452.78;555.56;-0.0056;0.6342;0.0173;-0.1433;64.60543538169267;65.29375924469899;66.01443599044703;66.34174514185607
47;452.78;555.56;0.0857;0.0379;0.0495;-0.1013;64.65074961709433;65.92752430099225;66.0270459800651;66.17740645371944
48;452.78;555.56;0.0133;-0.2697;-0.2037;-0.0979;64.78516927779151;65.91480637348417;66.07132493544616;66.06164059580264
49;452.78;555.56;0.0605;0.253;-0.1309;0.1527;64.84097361805266;65.59072648638957;65.86053960872927;65.9539097675627
50;452.78;555.56;-0.1269;-0.0602;0.0414;-0.2218;64.93174585193414;65.80730580008009;65.73143460273751;66.1010959122791
51;452.78;555.56;-0.0725;-0.1321;0.1167;0.0385;64.8242229244073;65.70168922923746;65.7800757695936;65.86788491749202
52;452.78;555.56;-0.1345;0.042;0.5858;-0.0687;64.77960744280533;65.52208544353523;65.90196442732355;65.90432076893812
53;452.78;555.56;-0.0719;-0.2481;0.0446;-0.1694;64.68081193840663;65.53040166411287;66.4878130858089;65.83209522121012
54;452.78;555.56;-0.1626;0.0445;0.1952;-0.2427;64.67519315632249;65.24514799318827;66.50782279044152;65.66206694886809
55;452.78;555.56;-0.3453;-0.0177;-0.3114;-0.2406;64.58005183255116;65.26532951367182;66.67759287082771;65.42556551826449
56;452.78;555.56;0.0355;0.0197;-0.266;-0.3268;64.31505181304493;65.21240801182192;66.33364432983204;65.2006746222048
57;452.78;555.56;-0.0804;0.0763;-0.0711;0.1792;64.43238207666884;65.19147886196423;66.04952732810608;64.89864331858969
